installation_step,bar_index,entity_id,guid,name,tag,length_mm,radius_mm,entry_direction,forced_core_resolution
114,3367,390831,0uegOgAsjDrBLfn4efvx3Z,吊点加强钢筋_B2:吊点加强钢筋_B2:710348,710348,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
115,3276,389125,0uegOgAsjDrBLfn4efvxFo,吊点加强钢筋_B2:吊点加强钢筋_B2:710109,710109,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
116,3356,390710,0uegOgAsjDrBLfn4efvx2L,吊点加强钢筋_B2:吊点加强钢筋_B2:710330,710330,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
117,3284,389213,0uegOgAsjDrBLfn4efvxF2,吊点加强钢筋_B2:吊点加强钢筋_B2:710125,710125,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
118,3364,390798,0uegOgAsjDrBLfn4efvx3c,吊点加强钢筋_B2:吊点加强钢筋_B2:710345,710345,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
119,3285,389224,0uegOgAsjDrBLfn4efvxF0,吊点加强钢筋_B2:吊点加强钢筋_B2:710127,710127,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
120,3365,390809,0uegOgAsjDrBLfn4efvx3b,吊点加强钢筋_B2:吊点加强钢筋_B2:710346,710346,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
121,3286,389235,0uegOgAsjDrBLfn4efvxFU,吊点加强钢筋_B2:吊点加强钢筋_B2:710129,710129,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
122,3366,390820,0uegOgAsjDrBLfn4efvx3a,吊点加强钢筋_B2:吊点加强钢筋_B2:710347,710347,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
123,3326,390364,0uegOgAsjDrBLfn4efvx1T,吊点加强钢筋_B2:吊点加强钢筋_B2:710258,710258,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
124,3406,391276,0uegOgAsjDrBLfn4efvx3H,吊点加强钢筋_B2:吊点加强钢筋_B2:710398,710398,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
125,3325,390353,0uegOgAsjDrBLfn4efvx1U,吊点加强钢筋_B2:吊点加强钢筋_B2:710257,710257,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
126,3405,391265,0uegOgAsjDrBLfn4efvx3I,吊点加强钢筋_B2:吊点加强钢筋_B2:710397,710397,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
127,3324,390342,0uegOgAsjDrBLfn4efvx1V,吊点加强钢筋_B2:吊点加强钢筋_B2:710256,710256,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
128,3404,391254,0uegOgAsjDrBLfn4efvx3J,吊点加强钢筋_B2:吊点加强钢筋_B2:710396,710396,1107.77802,6.00000,0.00000000;0.00000000;-1.00000000,0
