time_s,installation_step,bar_index,phase,x_mm,y_mm,z_mm,qx,qy,qz,qw,gripper
5162.974160,2014,453,preinsert,7981.996401,2667.354525,1045.256866,0.707103442,0.707110120,0.000000000,0.000000000,1
5163.073453,2014,453,preinsert,7981.996401,2667.354525,972.344820,0.707103442,0.707110120,0.000000000,0.000000000,1
5163.172747,2014,453,preinsert,7981.996401,2667.354525,881.597022,0.707103442,0.707110120,0.000000000,0.000000000,1
5163.272040,2014,453,preinsert,7981.996401,2667.354525,777.867851,0.707103442,0.707110120,0.000000000,0.000000000,1
5163.371334,2014,453,preinsert,7981.996401,2667.354525,667.320732,0.707103442,0.707110120,0.000000000,0.000000000,1
5163.470628,2014,453,preinsert,7981.996401,2667.354525,556.773612,0.707103442,0.707110120,0.000000000,0.000000000,1
5163.569921,2014,453,preinsert,7981.996401,2667.354525,453.044441,0.707103442,0.707110120,0.000000000,0.000000000,1
5163.669215,2014,453,preinsert,7981.996401,2667.354525,362.296643,0.707103442,0.707110120,0.000000000,0.000000000,1
5163.768508,2014,453,preinsert,7981.996401,2667.354525,289.384597,0.707103442,0.707110120,0.000000000,0.000000000,1
5163.867802,2014,453,preinsert,7981.996401,2667.354525,237.199113,0.707103442,0.707110120,0.000000000,0.000000000,1
5163.967095,2014,453,preinsert,7981.996401,2667.354525,206.012910,0.707103442,0.707110120,0.000000000,0.000000000,1
5164.066389,2014,453,preinsert,7981.996401,2667.354525,192.826089,0.707103442,0.707110120,0.000000000,0.000000000,1
5164.165683,2014,453,insert,7981.996401,2667.354525,190.711616,0.707103442,0.707110120,0.000000000,0.000000000,1
5164.249016,2014,453,insert,7981.996401,2667.354525,176.231616,0.707103442,0.707110120,0.000000000,0.000000000,1
5164.332349,2014,453,insert,7981.996401,2667.354525,111.351616,0.707103442,0.707110120,0.000000000,0.000000000,1
5164.415683,2014,453,insert,7981.996401,2667.354525,20.071616,0.707103442,0.707110120,0.000000000,0.000000000,1
5164.499016,2014,453,insert,7981.996401,2667.354525,-44.808384,0.707103442,0.707110120,0.000000000,0.000000000,1
5164.582349,2014,453,release,7981.996401,2667.354525,-59.288384,0.707103442,0.707110120,0.000000000,0.000000000,0
5164.682349,2014,453,retreat,7981.996401,2667.354525,-59.288384,0.707103442,0.707110120,0.000000000,0.000000000,0
5164.782349,2014,453,retreat,7981.996401,2667.354525,-41.912384,0.707103442,0.707110120,0.000000000,0.000000000,0
5164.882349,2014,453,retreat,7981.996401,2667.354525,35.943616,0.707103442,0.707110120,0.000000000,0.000000000,0
5164.982349,2014,453,retreat,7981.996401,2667.354525,145.479616,0.707103442,0.707110120,0.000000000,0.000000000,0
5165.082349,2014,453,retreat,7981.996401,2667.354525,223.335616,0.707103442,0.707110120,0.000000000,0.000000000,0
5165.182349,2014,453,retreat,7981.996401,2667.354525,240.711616,0.707103442,0.707110120,0.000000000,0.000000000,0
